OTU8080; Root; (rootrank, 31%); unclassified_Root; (domain, 31%)
OTU8183; Root; (rootrank, 31%); unclassified_Root; (domain, 31%)
OTU8271; Root; (rootrank, 43%); unclassified_Root; (domain, 43%)
OTU8278; Root; (rootrank, 46%); unclassified_Root; (domain, 46%)
OTU8299; Root; (rootrank, 34%); unclassified_Root; (domain, 34%)
OTU8312; Root; (rootrank, 28%); unclassified_Root; (domain, 28%)
OTU8320; Root; (rootrank, 30%); unclassified_Root; (domain, 30%)
OTU8343; Root; (rootrank, 33%); unclassified_Root; (domain, 33%)
OTU8423; Root; (rootrank, 28%); unclassified_Root; (domain, 28%)
OTU8453; Root; (rootrank, 34%); unclassified_Root; (domain, 34%)
OTU8560; Root; (rootrank, 31%); unclassified_Root; (domain, 31%)
OTU8675; Root; (rootrank, 31%); unclassified_Root; (domain, 31%)
OTU8683; Root; (rootrank, 19%); unclassified_Root; (domain, 19%)
OTU8695; Root; (rootrank, 32%); unclassified_Root; (domain, 32%)
OTU8748; Root; (rootrank, 40%); unclassified_Root; (domain, 40%)
OTU8803; Root; (rootrank, 28%); unclassified_Root; (domain, 28%)
OTU8816; Root; (rootrank, 34%); unclassified_Root; (domain, 34%)
OTU8819; Root; (rootrank, 30%); unclassified_Root; (domain, 30%)
OTU8910; Root; (rootrank, 34%); unclassified_Root; (domain, 34%)
OTU8971; Root; (rootrank, 33%); unclassified_Root; (domain, 33%)
OTU8991; Root; (rootrank, 32%); unclassified_Root; (domain, 32%)
OTU9042; Root; (rootrank, 31%); unclassified_Root; (domain, 31%)
OTU9044; Root; (rootrank, 29%); unclassified_Root; (domain, 29%)
OTU9051; Root; (rootrank, 31%); unclassified_Root; (domain, 31%)
OTU9079; Root; (rootrank, 24%); unclassified_Root; (domain, 24%)
OTU9084; Root; (rootrank, 28%); unclassified_Root; (domain, 28%)
OTU9117; Root; (rootrank, 33%); unclassified_Root; (domain, 33%)
OTU9198; Root; (rootrank, 30%); unclassified_Root; (domain, 30%)
OTU9208; Root; (rootrank, 22%); unclassified_Root; (domain, 22%)
OTU9235; Root; (rootrank, 23%); unclassified_Root; (domain, 23%)
OTU9319; Root; (rootrank, 33%); unclassified_Root; (domain, 33%)
OTU9359; Root; (rootrank, 34%); unclassified_Root; (domain, 34%)
OTU9383; Root; (rootrank, 35%); unclassified_Root; (domain, 35%)
OTU9489; Root; (rootrank, 32%); unclassified_Root; (domain, 32%)
OTU9590; Root; (rootrank, 31%); unclassified_Root; (domain, 31%)
OTU9606; Root; (rootrank, 32%); unclassified_Root; (domain, 32%)
OTU9631; Root; (rootrank, 32%); unclassified_Root; (domain, 32%)
OTU9639; Root; (rootrank, 31%); unclassified_Root; (domain, 31%)
OTU9655; Root; (rootrank, 33%); unclassified_Root; (domain, 33%)
OTU9682; Root; (rootrank, 32%); unclassified_Root; (domain, 32%)
OTU9737; Root; (rootrank, 30%); unclassified_Root; (domain, 30%)
OTU9763; Root; (rootrank, 34%); unclassified_Root; (domain, 34%)
OTU9848; Root; (rootrank, 39%); unclassified_Root; (domain, 39%)
OTU9880; Root; (rootrank, 33%); unclassified_Root; (domain, 33%)
OTU9904; Root; (rootrank, 32%); unclassified_Root; (domain, 32%)
OTU9916; Root; (rootrank, 33%); unclassified_Root; (domain, 33%)
OTU9950; Root; (rootrank, 25%); unclassified_Root; (domain, 25%)
OTU9993; Root; (rootrank, 30%); unclassified_Root; (domain, 30%)
OTU9997; Root; (rootrank, 28%); unclassified_Root; (domain, 28%)
OTU10037; Root; (rootrank, 25%); unclassified_Root; (domain, 25%)
OTU10055; Root; (rootrank, 37%); unclassified_Root; (domain, 37%)
OTU10107; Root; (rootrank, 42%); unclassified_Root; (domain, 42%)
OTU10121; Root; (rootrank, 33%); unclassified_Root; (domain, 33%)
OTU10146; Root; (rootrank, 26%); unclassified_Root; (domain, 26%)
OTU10166; Root; (rootrank, 34%); unclassified_Root; (domain, 34%)
OTU10251; Root; (rootrank, 33%); unclassified_Root; (domain, 33%)
OTU10259; Root; (rootrank, 34%); unclassified_Root; (domain, 34%)
OTU10274; Root; (rootrank, 20%); unclassified_Root; (domain, 20%)
OTU10286; Root; (rootrank, 32%); unclassified_Root; (domain, 32%)
OTU10303; Root; (rootrank, 32%); unclassified_Root; (domain, 32%)
OTU10343; Root; (rootrank, 31%); unclassified_Root; (domain, 31%)
OTU10347; Root; (rootrank, 44%); unclassified_Root; (domain, 44%)
OTU10390; Root; (rootrank, 29%); unclassified_Root; (domain, 29%)
OTU10482; Root; (rootrank, 30%); unclassified_Root; (domain, 30%)
OTU10509; Root; (rootrank, 29%); unclassified_Root; (domain, 29%)
OTU10524; Root; (rootrank, 35%); unclassified_Root; (domain, 35%)
OTU10542; Root; (rootrank, 32%); unclassified_Root; (domain, 32%)
OTU10584; Root; (rootrank, 30%); unclassified_Root; (domain, 30%)
OTU10624; Root; (rootrank, 30%); unclassified_Root; (domain, 30%)
OTU10639; Root; (rootrank, 28%); unclassified_Root; (domain, 28%)
OTU10672; Root; (rootrank, 29%); unclassified_Root; (domain, 29%)
OTU10675; Root; (rootrank, 32%); unclassified_Root; (domain, 32%)
OTU10678; Root; (rootrank, 40%); unclassified_Root; (domain, 40%)
OTU10718; Root; (rootrank, 31%); unclassified_Root; (domain, 31%)
OTU10722; Root; (rootrank, 100%); Bacteria; (domain, 100%); Proteobacteria; (phylum, 100%); Alphaproteobacteria; (class, 100%); Rickettsiales; (order, 100%); Mitochondria; (family, 100%); Mitochondria_genus_incertae_sedis; (genus, 100%)
OTU10782; Root; (rootrank, 42%); unclassified_Root; (domain, 42%)
OTU10847; Root; (rootrank, 32%); unclassified_Root; (domain, 32%)
OTU10988; Root; (rootrank, 27%); unclassified_Root; (domain, 27%)
OTU11010; Root; (rootrank, 33%); unclassified_Root; (domain, 33%)
OTU11191; Root; (rootrank, 22%); unclassified_Root; (domain, 22%)
OTU11221; Root; (rootrank, 27%); unclassified_Root; (domain, 27%)
OTU11265; Root; (rootrank, 35%); unclassified_Root; (domain, 35%)
OTU11306; Root; (rootrank, 31%); unclassified_Root; (domain, 31%)
OTU11314; Root; (rootrank, 31%); unclassified_Root; (domain, 31%)
OTU11362; Root; (rootrank, 29%); unclassified_Root; (domain, 29%)
OTU11372; Root; (rootrank, 36%); unclassified_Root; (domain, 36%)
OTU11390; Root; (rootrank, 33%); unclassified_Root; (domain, 33%)
OTU11416; Root; (rootrank, 30%); unclassified_Root; (domain, 30%)
OTU11547; Root; (rootrank, 34%); unclassified_Root; (domain, 34%)
OTU11565; Root; (rootrank, 32%); unclassified_Root; (domain, 32%)
OTU11566; Root; (rootrank, 35%); unclassified_Root; (domain, 35%)
OTU11570; Root; (rootrank, 31%); unclassified_Root; (domain, 31%)
OTU11610; Root; (rootrank, 57%); unclassified_Root; (domain, 57%)
OTU11802; Root; (rootrank, 29%); unclassified_Root; (domain, 29%)
OTU11847; Root; (rootrank, 30%); unclassified_Root; (domain, 30%)
OTU11849; Root; (rootrank, 32%); unclassified_Root; (domain, 32%)
OTU11868; Root; (rootrank, 32%); unclassified_Root; (domain, 32%)
OTU11871; Root; (rootrank, 31%); unclassified_Root; (domain, 31%)
OTU11896; Root; (rootrank, 30%); unclassified_Root; (domain, 30%)
OTU11921; Root; (rootrank, 30%); unclassified_Root; (domain, 30%)
OTU11931; Root; (rootrank, 33%); unclassified_Root; (domain, 33%)
OTU11975; Root; (rootrank, 28%); unclassified_Root; (domain, 28%)
OTU11977; Root; (rootrank, 33%); unclassified_Root; (domain, 33%)
OTU11994; Root; (rootrank, 33%); unclassified_Root; (domain, 33%)
OTU12071; Root; (rootrank, 29%); unclassified_Root; (domain, 29%)
OTU12072; Root; (rootrank, 23%); unclassified_Root; (domain, 23%)
OTU12112; Root; (rootrank, 31%); unclassified_Root; (domain, 31%)
OTU12116; Root; (rootrank, 32%); unclassified_Root; (domain, 32%)
OTU12122; Root; (rootrank, 31%); unclassified_Root; (domain, 31%)
OTU12142; Root; (rootrank, 32%); unclassified_Root; (domain, 32%)
OTU12189; Root; (rootrank, 42%); unclassified_Root; (domain, 42%)
OTU12191; Root; (rootrank, 23%); unclassified_Root; (domain, 23%)
OTU12231; Root; (rootrank, 32%); unclassified_Root; (domain, 32%)
OTU12257; Root; (rootrank, 30%); unclassified_Root; (domain, 30%)
OTU12366; Root; (rootrank, 40%); unclassified_Root; (domain, 40%)
OTU12395; Root; (rootrank, 28%); unclassified_Root; (domain, 28%)
OTU12470; Root; (rootrank, 32%); unclassified_Root; (domain, 32%)
OTU12473; Root; (rootrank, 27%); unclassified_Root; (domain, 27%)
OTU12521; Root; (rootrank, 30%); unclassified_Root; (domain, 30%)
OTU12528; Root; (rootrank, 34%); unclassified_Root; (domain, 34%)
OTU12531; Root; (rootrank, 29%); unclassified_Root; (domain, 29%)
OTU12536; Root; (rootrank, 35%); unclassified_Root; (domain, 35%)
OTU12648; Root; (rootrank, 31%); unclassified_Root; (domain, 31%)
OTU12658; Root; (rootrank, 25%); unclassified_Root; (domain, 25%)
OTU12691; Root; (rootrank, 35%); unclassified_Root; (domain, 35%)
OTU12761; Root; (rootrank, 32%); unclassified_Root; (domain, 32%)
OTU12790; Root; (rootrank, 30%); unclassified_Root; (domain, 30%)
OTU12823; Root; (rootrank, 30%); unclassified_Root; (domain, 30%)
OTU12887; Root; (rootrank, 33%); unclassified_Root; (domain, 33%)
OTU12898; Root; (rootrank, 33%); unclassified_Root; (domain, 33%)
OTU12932; Root; (rootrank, 30%); unclassified_Root; (domain, 30%)
OTU12933; Root; (rootrank, 33%); unclassified_Root; (domain, 33%)
OTU12958; Root; (rootrank, 30%); unclassified_Root; (domain, 30%)
OTU13031; Root; (rootrank, 36%); unclassified_Root; (domain, 36%)
OTU13039; Root; (rootrank, 30%); unclassified_Root; (domain, 30%)
OTU13053; Root; (rootrank, 31%); unclassified_Root; (domain, 31%)
OTU13054; Root; (rootrank, 34%); unclassified_Root; (domain, 34%)
OTU13128; Root; (rootrank, 31%); unclassified_Root; (domain, 31%)
OTU13131; Root; (rootrank, 32%); unclassified_Root; (domain, 32%)
OTU13135; Root; (rootrank, 28%); unclassified_Root; (domain, 28%)
OTU13136; Root; (rootrank, 27%); unclassified_Root; (domain, 27%)
OTU13138; Root; (rootrank, 30%); unclassified_Root; (domain, 30%)
OTU13144; Root; (rootrank, 31%); unclassified_Root; (domain, 31%)
OTU13158; Root; (rootrank, 33%); unclassified_Root; (domain, 33%)
OTU13159; Root; (rootrank, 32%); unclassified_Root; (domain, 32%)
OTU13175; Root; (rootrank, 35%); unclassified_Root; (domain, 35%)
OTU13237; Root; (rootrank, 23%); unclassified_Root; (domain, 23%)
OTU13296; Root; (rootrank, 33%); unclassified_Root; (domain, 33%)
OTU13299; Root; (rootrank, 30%); unclassified_Root; (domain, 30%)
OTU13371; Root; (rootrank, 33%); unclassified_Root; (domain, 33%)
OTU13412; Root; (rootrank, 31%); unclassified_Root; (domain, 31%)
OTU13457; Root; (rootrank, 29%); unclassified_Root; (domain, 29%)
OTU13528; Root; (rootrank, 27%); unclassified_Root; (domain, 27%)
OTU13539; Root; (rootrank, 24%); unclassified_Root; (domain, 24%)
OTU13556; Root; (rootrank, 29%); unclassified_Root; (domain, 29%)
OTU13592; Root; (rootrank, 35%); unclassified_Root; (domain, 35%)
OTU13629; Root; (rootrank, 24%); unclassified_Root; (domain, 24%)
OTU13658; Root; (rootrank, 31%); unclassified_Root; (domain, 31%)
OTU13671; Root; (rootrank, 30%); unclassified_Root; (domain, 30%)
OTU13716; Root; (rootrank, 34%); unclassified_Root; (domain, 34%)
OTU13717; Root; (rootrank, 31%); unclassified_Root; (domain, 31%)
OTU13746; Root; (rootrank, 33%); unclassified_Root; (domain, 33%)
OTU13773; Root; (rootrank, 32%); unclassified_Root; (domain, 32%)
OTU13829; Root; (rootrank, 32%); unclassified_Root; (domain, 32%)
OTU13867; Root; (rootrank, 32%); unclassified_Root; (domain, 32%)
OTU13876; Root; (rootrank, 33%); unclassified_Root; (domain, 33%)
OTU14002; Root; (rootrank, 31%); unclassified_Root; (domain, 31%)
OTU14009; Root; (rootrank, 34%); unclassified_Root; (domain, 34%)
OTU14054; Root; (rootrank, 30%); unclassified_Root; (domain, 30%)
OTU14057; Root; (rootrank, 32%); unclassified_Root; (domain, 32%)
OTU14062; Root; (rootrank, 39%); unclassified_Root; (domain, 39%)
OTU14071; Root; (rootrank, 88%); Bacteria; (domain, 88%); Proteobacteria; (phylum, 88%); Alphaproteobacteria; (class, 88%); Rickettsiales; (order, 88%); Mitochondria; (family, 88%); Mitochondria_genus_incertae_sedis; (genus, 88%)
OTU14099; Root; (rootrank, 32%); unclassified_Root; (domain, 32%)
OTU14212; Root; (rootrank, 28%); unclassified_Root; (domain, 28%)
OTU14318; Root; (rootrank, 97%); Bacteria; (domain, 97%); Proteobacteria; (phylum, 97%); Alphaproteobacteria; (class, 97%); Rickettsiales; (order, 97%); Mitochondria; (family, 97%); Mitochondria_genus_incertae_sedis; (genus, 97%)
OTU14357; Root; (rootrank, 29%); unclassified_Root; (domain, 29%)
OTU14365; Root; (rootrank, 45%); unclassified_Root; (domain, 45%)
OTU14398; Root; (rootrank, 29%); unclassified_Root; (domain, 29%)
OTU14413; Root; (rootrank, 29%); unclassified_Root; (domain, 29%)
OTU14480; Root; (rootrank, 27%); unclassified_Root; (domain, 27%)
OTU14527; Root; (rootrank, 29%); unclassified_Root; (domain, 29%)
OTU14601; Root; (rootrank, 33%); unclassified_Root; (domain, 33%)
OTU14606; Root; (rootrank, 30%); unclassified_Root; (domain, 30%)
OTU14662; Root; (rootrank, 22%); unclassified_Root; (domain, 22%)
OTU14688; Root; (rootrank, 29%); unclassified_Root; (domain, 29%)
OTU14691; Root; (rootrank, 23%); unclassified_Root; (domain, 23%)
OTU14725; Root; (rootrank, 32%); unclassified_Root; (domain, 32%)
OTU14748; Root; (rootrank, 33%); unclassified_Root; (domain, 33%)
OTU14809; Root; (rootrank, 34%); unclassified_Root; (domain, 34%)
OTU14849; Root; (rootrank, 37%); unclassified_Root; (domain, 37%)
OTU14897; Root; (rootrank, 30%); unclassified_Root; (domain, 30%)
OTU14909; Root; (rootrank, 32%); unclassified_Root; (domain, 32%)
OTU14979; Root; (rootrank, 30%); unclassified_Root; (domain, 30%)
OTU14981; Root; (rootrank, 30%); unclassified_Root; (domain, 30%)
OTU15038; Root; (rootrank, 20%); unclassified_Root; (domain, 20%)
OTU15046; Root; (rootrank, 32%); unclassified_Root; (domain, 32%)
OTU15060; Root; (rootrank, 24%); unclassified_Root; (domain, 24%)
OTU15161; Root; (rootrank, 27%); unclassified_Root; (domain, 27%)
OTU15172; Root; (rootrank, 34%); unclassified_Root; (domain, 34%)
OTU15175; Root; (rootrank, 32%); unclassified_Root; (domain, 32%)
OTU15188; Root; (rootrank, 29%); unclassified_Root; (domain, 29%)
OTU15280; Root; (rootrank, 33%); unclassified_Root; (domain, 33%)
OTU15309; Root; (rootrank, 32%); unclassified_Root; (domain, 32%)
OTU15328; Root; (rootrank, 31%); unclassified_Root; (domain, 31%)
OTU15358; Root; (rootrank, 31%); unclassified_Root; (domain, 31%)
OTU15362; Root; (rootrank, 33%); unclassified_Root; (domain, 33%)
