SampleID	StationName	DateMMDDYY	DepthName	sequencing ID	CollectionAgency	sequencing_ID	Month	Year	Month_Year	Salinity_Group	Time	Actual Depth (m)	Temp (°C)	Conductivity (μS/cm)	Specific Conductivity (μS/cm)	Total Dissolved Solids (mg/L)	Salinity (PSU)	ODO (% sat)	ODO (mg/L)	Pressure (psi)	pH	ORP (mV)	Turbidity (FNU)	Station	CHLA	DIN	DO	DOC	DON	DOP	FSS	KD	NH4F	NO23F	NO2F	NO3F	PC	PH	PHEO	PN	PO4F	PP	SALINITY	SECCHI	SIF	SIGMA_T	SPCOND	TDN	TDP	TN	TON	TP	TSS	VSS	WTEMP	TotalDepth
SB061517TAWCSCB33CD14BR1TR1I567	CB33C	061517	14	sprehei1_149186	Preheim	spr14	06	17	06 17	Mesohaline	10:15:00	13.931	18.048	25954.9	30414.1	19788.0	18.94	1.7	0.14	19.871	7.04	40.2	0.76																																	
SB060117TAWCSCB33CD15BR1TR1I539	CB33C	060117	15	Keith_Maeve1_138650	Preheim	KM	06	17	06 17	Mesohaline	12:08:00	15.29	16.67	22268.0	26479.0	17206.0	16.25	4.4	0.39	21.496	6.99	-37.6	1.29																																	
SB060117TAWCSCB33CD19BR2TR1I553	CB33C	060117	19	Keith_Maeve1_138650	Preheim	KM	06	17	06 17	Mesohaline																																														
SB061517TAWCSCB33CD21BR1TR1I571	CB33C	061517	21	esakows1_152133_plate_2	Preheim	e_15_2	06	17	06 17	Mesohaline	10:59:00	22.0945	18.0765	26825.75	30914.9	20101.0	19.27	1.65	0.14	32.224	7.06	5.5	1.175																																	
SB060117TAWCSCB33CD21BR2TR1I554	CB33C	060117	21	Keith_Maeve1_138650	Preheim	KM	06	17	06 17	Mesohaline	09:15:47	21.363000000000003	16.626879999999993	23128.382	27531.352	17895.34	16.965600000000013	4.063999999999998	0.3574	30.74392	7.0	-51.05799999999997	1.4949999999999997																																	
SB060517TAWCSCB33CD24BR1TR1I359	CB33C	060717	24	esakows1_152133_plate_1	DNR	e_15_1	06	17	06 17	Mesohaline	15:03:00													CB3.3C	0.62	0.3241	0.57		0.3259	0.0107			0.2905	0.033600000000000005	0.00505	0.02855	0.3205	7.1	0.74	0.05505	0.01165	0.0091	16.7			11.60551	27400.0	0.65	0.02235	0.70505	0.38095	0.03145	4.7		17.2	25.5
SB060517TAWCSCB42CD26BR1TR1I361	CB42C	060717	27	esakows1_152133_plate_1	DNR	e_15_1	06	17	06 17	Mesohaline	11:26:00													CB4.2C	1.526	0.2405	1.3		0.3295	0.0103			0.19699999999999998	0.0435	0.0063	0.0372	0.473	7.2	1.892	0.08199999999999999	0.0037	0.0081	18.35			12.69489	29800.0	0.57	0.013999999999999999	0.652	0.4115	0.0221	10.8		18.0	28.0
SB060517TAWCSCB43CD27BR1TR1I362	CB43C	060717	26	esakows1_152133_plate_1	DNR	e_15_1	06	17	06 17	Mesohaline	09:51:00													CB4.3C	1.2209999999999999	0.2223	1.7		0.2877	0.0116			0.18899999999999997	0.0333	0.0064	0.0269	0.299	7.3	0.809	0.0631	0.0058	0.0071	18.97			13.10154	30700.0	0.51	0.0174	0.5731	0.3508	0.0245	16.0		18.3	27.5
SB062617TAWCSCB43CD27BR1TR1I362	CB43C	062717	26	sprehei1_149186	DNR	spr14	06	17	06 17	Mesohaline	09:40:00													CB4.3C	0.8540000000000001	0.22955	0.39		0.3205	0.0122			0.22899999999999998	0.0007	0.0007	0.0	0.435	7.3	0.74	0.0997	0.0446	0.0145	17.93			11.87226	29200.0	0.55	0.0568	0.6497	0.42015	0.0713	8.0		20.2	27.5
SB060517TAWCSCB44D5BR1TR1I353	CB44	060617	00	esakows1_152133_plate_1	DNR	e_15_1	06	17	06 17	Mesohaline	14:33:00													CB4.4	14.952	0.0449	10.4		0.2851	0.0076			0.005	0.0399	0.0031	0.0368	1.86	8.6	1.709	0.319	0.0028	0.0254	9.65	1.5		5.01455	16800.0	0.33	0.0104	0.649	0.6041	0.0358	4.4		22.6	32.0
SB060517TAWCSCB44D31BR1TR1I363	CB44	060617	31	esakows1_152133_plate_1	DNR	e_15_1	06	17	06 17	Mesohaline	14:33:00													CB4.4	1.831	0.1995	2.3		0.3105	0.012			0.177	0.0225	0.005	0.0175	0.636	7.3	2.334	0.111	0.0062	0.0146	19.38			13.36926	31300.0	0.51	0.0182	0.621	0.4215	0.0328	15.6		18.5	32.0
SB062617TAWCSCB44D31BR1TR1I363	CB44	062617	31	sprehei1_149186	DNR	spr14	06	17	06 17	Mesohaline	14:27:00													CB4.4	0.62	0.2207	0.5		0.3293	0.0156			0.207	0.0137	0.0007	0.013149999999999998	0.46799999999999997	7.3	1.367	0.107	0.0489	0.0107	18.69			12.49699	30300.0	0.55	0.0645	0.657	0.4363	0.0752	6.0		20.0	32.0
SB060517TAWCSCB51D33BR1TR1I364	CB51	060617	33	esakows1_152133_plate_1	DNR	e_15_1	06	17	06 17	Mesohaline	13:45:00													CB5.1	1.526	0.16699999999999998	2.7		0.28300000000000003	0.0114			0.145	0.022000000000000002	0.0039	0.0181	0.39299999999999996	7.4	1.465	0.0717	0.006999999999999999	0.0083	19.73			13.59062	31800.0	0.45	0.0184	0.5217	0.3547	0.0267	7.2		18.7	34.5
SB060517TAWCSCB53D5BR1TR1I352	CB53	060617	00	esakows1_152133_plate_1	DNR	e_15_1	06	17	06 17	Mesohaline	11:01:00													CB5.3	10.833	0.063	8.9		0.22699999999999998	0.005			0.006999999999999999	0.055999999999999994	0.0007	0.0555	1.33	8.4	0.915	0.262	0.0021	0.0152	10.3	1.5		5.5807	17800.0	0.29	0.0071	0.552	0.489	0.0223	7.2		22.3	27.0
SB060517TAWCSCB53D25BR2TR1I367	CB53	060617	26	esakows1_152133_plate_1	DNR	e_15_1	06	17	06 17	Mesohaline	11:01:00													CB5.3	1.068	0.0928	3.7		0.3072	0.0148			0.073	0.0198	0.0027	0.0171	0.5	7.5	1.175	0.0973	0.0047	0.0087	21.41			14.68294	34200.0	0.4	0.0195	0.4973	0.4045	0.0282	10.8		19.5	27.0
SB062617TAWCSCB53D25BR1TR1I366	CB53	062617	25	sprehei1_149186	DNR	spr14	06	17	06 17	Mesohaline	11:03:00													CB5.3	0.763	0.1375	0.8		0.2925	0.0133			0.129	0.0085	0.0045	0.004	0.32899999999999996	7.3	0.74	0.08	0.0222	0.0095	19.11			12.44722	30900.0	0.43	0.0355	0.51	0.3725	0.045	6.0		21.5	26.5
SB060517TAWCSCB54D25BR1TR1I368	CB54	060617	01	esakows1_152133_plate_1	ODU	e_15_1	06	17	06 17	Mesohaline	13:56:00													CB5.4	11.0004	0.0043	9.59		0.23	0.0052	3.87		0.0038	0.0005	0.0003	0.0002	1.55085	8.54	0.332	0.22926	0.0021	0.0179	11.65		0.4027	6.45526	19546.0	0.2349	0.0073	0.4642	0.46085	0.0252	5.68	2.7775	22.884	32.0
SB060517TAWCSCB54D25BR1TR1I377	CB54	060617	25	esakows1_152133_plate_1	ODU	e_15_1	06	17	06 17	Mesohaline	13:56:00													CB5.4			3.95											7.71					21.78			14.9056	34581.0								19.745	32.0
SB060517TAWCSCB71D20BR1TR1I374	CB71	060717	01	esakows1_152133_plate_1	ODU	e_15_1	06	17	06 17	Polyhaline	08:02:00													CB7.1	4.9128	0.0046	7.96		0.22	0.004925	3.87		0.0038	0.0007999999999999999	0.0004	0.0004	0.84034	8.36	0.332	0.13847	0.0009	0.0102	16.04		0.1565	9.94149	26198.0	0.2253	0.0056				5.42	2.5175	22.221999999999998	17.0
SB060517TAWCSCB71D20BR1TR1I383	CB71	060717	16	esakows1_152133_plate_1	ODU	e_15_1	06	17	06 17	Polyhaline	08:02:00													CB7.1	2.3496	0.0209	4.32		0.2094	0.0066	11.92		0.0182	0.0027	0.0009	0.0018	0.58626	7.81	1.61268	0.10503	0.0022	0.0148	21.38		0.4099	14.46297	33996.0	0.2303	0.0088	0.3353	0.3144	0.0236	15.64	3.72	20.316	17.0
SB060517TAWCSCB61D11BR1TR1I370	CB61	060617	01	esakows1_152133_plate_1	ODU	e_15_1	06	17	06 17	Polyhaline	12:07:00													CB6.1	7.1556	0.0042	8.97	2.585	0.21	0.00665	3.87		0.0038	0.0004	0.0002	0.0002	1.17181	8.31	0.332	0.18781	0.0009	0.0133	14.58		0.1616	8.71843	24022.0	0.2173	0.0073	0.4051	0.40185	0.0206	4.66	1.7575	22.69	12.0
SB060517TAWCSCB61D11BR1TR1I379	CB61	060617	11	esakows1_152133_plate_1	ODU	e_15_1	06	17	06 17	Polyhaline	12:07:00													CB6.1	1.3884	0.053	2.93		0.1796	0.0042	5.6		0.0479	0.0051	0.0013	0.0038	0.37446	7.56	0.63012	0.07153	0.0029	0.0094	21.25		0.5812	14.53889	33809.0	0.2326	0.0071	0.3041	0.2511	0.0165	8.5	2.9	19.594	12.0
SB060517TAWCSCB62D9BR1TR1I371	CB62	060617	01	esakows1_152133_plate_1	ODU	e_15_1	06	17	06 17	Polyhaline	10:23:00													CB6.2	6.6216	0.0031000000000000003	9.12		0.22335	0.0044	3.87		0.0038	0.0003	0.0003	0.0	1.07024	8.31	0.332	0.18364	0.002	0.0125	14.03		0.1457	8.32696	23184.0	0.2264	0.0064	0.41	0.40695	0.0189	4.6	1.6975	22.596	10.0
SB060517TAWCSCB62D9BR1TR1I380	CB62	060617	09	esakows1_152133_plate_1	ODU	e_15_1	06	17	06 17	Polyhaline	10:23:00													CB6.2	2.8480000000000003	0.0184	4.01		0.21	0.0055	8.32		0.0166	0.0018	0.0006	0.0012	0.5726399999999999	7.63	0.3916	0.10576	0.0013	0.0156	21.07		0.4093	14.23694	33548.0	0.2259	0.0068	0.3317		0.0224	12.08	3.76	20.278	10.0
SB060517TAWCSCB63D10BR1TR1I372	CB63	060617	01	esakows1_152133_plate_1	ODU	e_15_1	06	17	06 17	Polyhaline	09:41:00													CB6.3	6.1944	0.0042	9.02		0.21	0.006	3.87		0.0038	0.0004	0.0002	0.0002	1.02549	8.2	0.332	0.15068	0.0009	0.0123	14.44		0.1306	8.64826	23803.0	0.2095	0.0067	0.3602	0.35695	0.019	4.7	1.7975	22.551	11.0
SB060517TAWCSCB63D10BR1TR1I381	CB63	060617	10	esakows1_152133_plate_1	ODU	e_15_1	06	17	06 17	Polyhaline	09:41:00													CB6.3	3.0972	0.0323	4.21		0.2	0.0057	9.66		0.0304	0.0019	0.0008	0.0011	0.63369	7.6	1.31364	0.10902	0.0015	0.0197	21.65		0.4183	14.61934	34395.0	0.2283	0.0072	0.3373		0.0269	13.18	3.52	20.513	11.0
SB060517TAWCSCB73D12BR1TR1I376	CB73	061417	01	esakows1_152133_plate_1	ODU	e_15_1	06	17	06 17	Polyhaline	11:17:00													CB7.3	3.4176	0.0031000000000000003	8.21		0.2087	0.004999999999999999	3.87		0.0038	0.0003	0.0003	0.0	0.97835	8.15	0.332	0.14765	0.0009	0.013999999999999999	17.43		0.337	10.16926	28316.0	0.2118	0.0057	0.3594	0.35635	0.0197	5.32	2.4175	25.263	13.0
